G12	A.BRANCA/FAZ.RIO GRANDE
289	MAD.JD.GRAZIELA
319	MAD.LESTE
259	MAD.NORTE
229	MAD.PENHA/F.NORONHA
489	MAD.PETROPOLIS/SOLITUDE
188	MAD.PILARZINHO/UBERABA
608	MAD.PINHEIRINHO
209	MAD.S.CANDIDA/C.RASO
519	MAD.S.FRANCISCO/IGUAPE
689	MAD.S.PEDRO/R.NEGRO
889	MAD.SAO BRAZ
989	MAD.STA.FELICIDADE
687	MAD.SUL
389	MAD.TARUMA/AUGUSTA
679	MAD.TATUQUARA
788	MAD.V.VELHA
260	MAL.HERMES/STA.EFIGENIA
B25	MARACANA/B.ALTO
B41	MARACANA/C.IMBUIA
B12	MARACANA/CABRAL
B11	MARACANA/STA.CANDIDA
B32	MARACANA/STA.CANDIDA (BOOSTER)
633	MARIA ANGELICA
522	MARINGA
181	MATEUS LEME
594	MENONITAS
331	MERCURIO
812	MONTANA
B19	MONTE CASTELO
814	MOSSUNGUE
F16	NACOES I
F22	NACOES II
176	NILO PECANHA
521	NIVALDO BRAGA
674	NOSSA SRA.DA LUZ
280	NOSSA SRA.DE NAZARE
360	NOVENA
666	NOVO MUNDO
233	OLARIA
535	OSTERNACK/BOQUEIRAO
548	OSTERNACK/S.CERCADO
915	OURO VERDE/V.BADIA
272	PAINEIRAS
640	PALMEIRA
B22	PALOMA
387	PALOTINOS
343	PARAISO
534	PARIGOT DE SOUZA
623	PARQUE INDUSTRIAL
911	PASSAUNA
462	PETROPOLIS
C42	PINHAIS/B.ALTO
304	PINHAIS/C.COMPRIDO
C03	PINHAIS/GUADALUPE
D14	PINHAIS/PIRAQUARA
301	PINHAIS/RUI BARBOSA
638	PINHEIRINHO
603	PINHEIRINHO
X11	PINHEIRINHO/C.RASO
644	PINHEIRINHO/CIC
688	PINHEIRINHO/ZOOLOGICO
916	PINHEIROS
631	PIRATINI/BR116
649	PIRINEUS
B14	PLANALTO
D11	PLANTA DEODORO
C22	PLANTA KARLA
646	POMPEIA
671	PORTAO
612	PORTAO/CIC
B21	PORTEIRA
718	PORTO BELO
F18	PQ.INDUSTRIAL
E63	PRADO VELHO/P.MORO
D16	PRESIDIO
171	PRIMAVERA
C26	PRIVE
E31	PUC (SAO JOSE)
I41	Q.BARRAS/BOCAIUVA
I40	Q.BARRAS/PIRAQUARA
632	QUARTEL GENERAL
G11	QUITANDINHA/PINHEIRINHO
L11	R.BRANCO/TAMANDARE
168	RAPOSO TAVARES
165	RAQUEL PRADO/PUC
J12	REBOUCAS
219	REFORCO COLINA
539	REFORCO TERMINAL
B27	RIBEIRA/T.MARACANA
684	RIO BONITO
636	RIO NEGRO
221	RIO VERDE
827	RIVIERA
622	RONDON
B18	ROSEIRA
370	RUA XV/BARIGUI
546	S.CERCADO/BOQUEIRAO
543	S.CERCADO/BR 116
610	S.CERCADO/C.RASO
653	SABARA
375	SACRE COEUR
A11	SAN FRANCISCO
236	SAO BENEDITO
965	SAO BERNARDO
870	SAO BRAZ
D12	SAO CRISTOVAO
511	SAO FRANCISCO
213	SAO JOAO
670	SAO JORGE
A17	SAO JORGE
824	SAO JOSE/D.FINA
811	SATURNO
876	SAVOIA
B29	SEDE/APDEC
508	SITIO CERCADO (ANTI-HORARIO)
507	SITIO CERCADO (HORARIO)
212	SOLAR
463	SOLITUDE
713	STA.AMELIA
J16	STA.ANGELA
461	STA.BARBARA
203	STA.CANDIDA/C.RASO
204	STA.CANDIDA/PINHEIRINHO
620	STA.CRUZ
901	STA.FELICIDADE
902	STA.FELICIDADE
924	STA.FELICIDADE/STA.CANDIDA
274	STA.GEMA
B17	STA.HELENA
531	STA.INES
637	STA.JOANA
F14	STA.MARIA
760	STA.QUITERIA
619	STA.RITA/CIC
650	STA.RITA/PINHEIRINHO
243	STA.TEREZINHA
F19	STA.TEREZINHA
F26	STA.TEREZINHA/IPE
E11	T.BOQ./T.AFONSO PENA
E21	T.BOQ./T.CENTRAL
C04	T.C.IMBUIA/T.PINHAIS
806	T.C.LARGO/CAMP.SIQUEIRA
I90	T.CACHOEIRA/T.MARACANA
A02	TAMANDARE
218	TAMANDARE/CABRAL
105	TAMANDARE/CABRAL
I91	TAMANDARE/COLOMBO
A22	TANGUA/TAMANDARE
372	TARUMA
667	TERMINAL CIC
J14	TIMBOTUVA (EST.NOVA)
J13	TIMBOTUVA (EST.VELHA)
214	TINGUI
877	TIRADENTES/TUIUTI BARIGUI
545	TRABALHADOR
861	TRAMONTINA
321	TRINDADE
815	TUIUTI/BARIGUI
979	TURISMO
472	UBERABA
615	UBERLANDIA
643	UMBARA
Z02	UNIANDRADE/STA.QUITERIA
Z01	UNIBRASIL/TUBO DETRAN
829	UNICENP
C25	V.AMELIA
323	V.AUTODROMO
663	V.CUBAS
222	V.ESPERANCA
C30	V.GRANDE/V.TARUMA
761	V.IZABEL
242	V.LEONICE
467	V.MACEDO
D23	V.MACEDO
C17	V.MARIA ANTONIETA
B28	V.MARIA DO ROSARIO
714	V.MARISA
825	V.MARQUETO
166	V.NORI
C12	V.NOVA
A32	V.PRADO
336	V.RENO
665	V.REX
762	V.ROSINHA
860	V.SANDRA
471	V.SAO PAULO
624	V.SAO PEDRO
184	V.SUICA
613	V.URANO
777	V.VELHA
652	V.VERDE
918	VENEZA
630	VITORIA REGIA
C15	WEISSOPOLIS
616	WENCESLAU BRAZ
565	XAXIM
536	ZOOLOGICO
